relative_path,quotation_number,qn_confidence,boq_status
2506W085\2506W085 OFFER FOR SO2 GAS ANALYSER SYSTEM FOR HINDALCO MAHAN .txt,2506W085,HIGH,FOUND
2506W088\2506W088_ Kinvan Pvt Ltd _CAAQMS_Budgetary offer .txt,2506W088,HIGH,FOUND
2506W091\Price-2506W091- ADAGE OFFER_AMNS HAZIRA Budgetory .txt,2506W091,HIGH,FOUND
2506W092\2506W092 - OFFER FOR GAS ANALYSER SYSTEM-GHALSASI GROUP.txt,2506W092,HIGH,FOUND
2506W098\2506W098 TKIL Industries _CAAQMS_Budgetary Offer.txt,2506W098,HIGH,FOUND
2507G052\2507G052 CEMS BOZZLER - DTCL.txt,2507G052,HIGH,FOUND
2507G053\Q2507G053 COMMERCIAL OFFER FOR H2 GAS ANALYSER SYSTEM FOR ADANI MUNDRA POWER PLANT.txt,Q2507G053,HIGH,FOUND
2507G054\OFFER2507G054 GCP LASER TECHNICAL BID.txt,2507G054,HIGH,FOUND
2507W102\2507W102 TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ADANI AMBUJA MARATHA CEMENT.txt,2507W102,HIGH,FOUND
2507W102\2507W102R1 -OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ADANI AMBUJA MARATHA CEMENT.txt,2507W102R1,HIGH,FOUND
2507W104\2507W104 TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ADANI AMBUJA DARLAGHAT CEMENT.txt,2507W104,HIGH,FOUND
2507W104\2507W104R1 -OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ADANI AMBUJA DARLAGHAT CEMENT.txt,2507W104R1,HIGH,FOUND
2507W106\2507W106 - JFE ENGINEERING-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2507W106,HIGH,FOUND
2507W124\2507W124- THERMAX B&H- VARDHAMAN-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2507W124,HIGH,FOUND
2507W125\PRICE-2507W125- ADAGE OFFER_AMNS GANDHIDHAM- 28040106.txt,2507W125,HIGH,FOUND
2507W126\2507W126- ADAGE OFFER_AMNS Khopoli-CAAQMS-HCL-FLOW.txt,2507W126,HIGH,FOUND
"2507W127\2507W127- ADAGE OFFER_AMNS HAZIRA-FLOW,O2,DAS.txt",2507W127,HIGH,FOUND
2507W129\Price-2507W129  - ADAGE OFFER_ACC WADI CEMENT WORKS .txt,2507W129,HIGH,FOUND
2507W130\2507W130 _DEEPAK FERTILIZER_ WEATHER MONITORING STATION.txt,2507W130,HIGH,FOUND
2507W131\Q2507W131 COMMERCIAL OFFER FOR GAS ANALYSER SYSTEM FOR DANIELI CENTRO COMBUSTION INDIA.txt,Q2507W131,HIGH,FOUND
2507W132\Q2507W132 OFFER FOR TDLS O2 GAS ANALYSER SYSTEM FOR DANIELI CENTRO COMBUSTION INDIA.txt,Q2507W132,HIGH,FOUND
2507W135\Q2507W135 -OFFER FOR GAS ANALYSER SYSTEM FOR NVCL SURAT.txt,Q2507W135,HIGH,FOUND
"2507W140\2507W140 OFFER FOR TDLS O2 , HYDROGEN GAS ANALYSER SYSTEM FOR RCF THAL ..txt",2507W140,HIGH,FOUND
2507W142\PRICE-2507W142- ADAGE OFFER_DALMIA CEMENT- CO & O2 SYSTEM-COAL MILL .txt,2507W142,HIGH,FOUND
2508G055\2508G055 Shree Durga CEMS System offer.txt,2508G055,HIGH,FOUND
2508G058\2508G058 Offer for O2 Analyser FDC PDC.txt,2508G058,HIGH,FOUND
2508G059\2508G059 LnT MHI Boilers H2 Purity System.txt,2526G014,HIGH,FOUND
2508G059\2508G059R3_L&T_MHPS_H2 Purity & Pressure Transmitter.txt,2508G059R3,HIGH,FOUND
2508G060\Techno-commercial Offer 2508G060 GSFC Sikka NH3 Analyser.txt,2508G060,HIGH,FOUND
2508G061\Q2508G061_TECHNICAL_OFFER_FOR_O2_GAS_ANALYSER_SYSTEM.txt,Q2508G061,HIGH,FOUND
2508W145\2508W145_OFFER MOISURE ANALYSER_INOXAIR.txt,2508W145,HIGH,FOUND
2508W148\TECHNO-2508W148 - JSW DOLVI-CSP2-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2508W148,HIGH,FOUND
2508W149\Q2508W149 -OFFER FOR GAS ANALYSER SYSTEM FOR CARBON CLEAN INDIA.txt,Q2508W149,HIGH,FOUND
2508W149\Q2508W149R1 -OFFER FOR GAS ANALYSER SYSTEM FOR CARBON CLEAN INDIA.txt,Q2508W149R1,HIGH,FOUND
2508W149\Q2508W149R2 -OFFER FOR GAS ANALYSER SYSTEM FOR CARBON CLEAN INDIA.txt,Q2508W149R2,HIGH,FOUND
2508W149\Q2508W149R3 -OFFER FOR GAS ANALYSER SYSTEM FOR CARBON CLEAN INDIA.txt,Q2508W149R3,HIGH,FOUND
2508W150\Q2508W150 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR THERMAX IMFA PROJECT.txt,Q2508W150,HIGH,FOUND
2508W151\Q2508W151  OFFER FOR CV ANALYSER SYSTEM FOR DANIELI CENTRO COMBUSTION.txt,Q2508W151,HIGH,FOUND
2508W152\Q2508W152  OFFER FOR CV ANALYSER SYSTEM FOR DANIELI CENTRO COMBUSTION.txt,Q2508W152,HIGH,FOUND
2508W153\TECHNO-2508W153R3 - JSW DOLVI-BF3-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYST.txt,2508W153R3,HIGH,FOUND
2508W158\PRICE-OFFER 2508W158_JSW DOLVI_CV SYSTEM-MIXED GAS- COKEOVEN-.txt,2508W158,HIGH,FOUND
2508W159\Q2508W159 OFFER FOR GAS ANALYSER SYSTEM FOR ADANI ORIENT CEMENT WORKS.txt,Q2508W159,HIGH,FOUND
2508W160\Techno-25508W160- ADAGE OFFER_AMNS HAZIRA- 6000137715.txt,2508W160,HIGH,FOUND
2508W161\Q2508W161 -OFFER FOR GAS ANALYSER SYSTEM FOR NVCL SURAT.txt,Q2508W161,HIGH,FOUND
2509G064\Q2509G064_TECHNICAL_OFFER_FOR_CEMS_SYSTEM_FOR_GNFC.txt,Q2509G064,HIGH,FOUND
2509W169\Q2509W169 -TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ADANI ACC WADI CEMENT.txt,Q2509W169,HIGH,FOUND
2509W171\Q2509W171-OFFER FOR GAS ANALYSER SYSTEM FOR RAJ PROCESS EQUIPMENT.txt,Q2509W171,HIGH,FOUND
2509W176\Offer#2509W176 - UTCL - Kiln Inlet_Techno_Commercial -.txt,–2509W176,HIGH,FOUND
2509W180\2509W180 - JSW SALAV-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2509W180,HIGH,FOUND
2509W182\2509W182- UTCL RAJASHREE CEMENT- CO & O2 SYSTEM- PHO.txt,2509W182,HIGH,FOUND
2509W184\Price-2509W184- OFFER FOR PENNA CEMENT-TANDUR UNIT- PYRO & COAL APPLICATION .txt,2509W184,HIGH,FOUND
